
1656253272573 :: history :: {'symbol': 'HINDALCO', 'resolution': {15}, 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253272656 :: {'s': 'error', 'code': -300, 'message': 'Please provide a valid symbol'}
1656253741952 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '15', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1656253742571 :: {'s': 'ok', 'candles': [[1655955900, 317.0, 320.9, 315.5, 317.65, 1435183], [1655956800, 317.5, 320.45, 317.5, 320.05, 713452], [1655957700, 320.1, 322.3, 320.05, 322.1, 735914], [1655958600, 322.1, 324.3, 321.6, 324.2, 738550], [1655959500, 324.2, 325.5, 323.25, 325.15, 735577], [1655960400, 324.95, 325.45, 324.15, 325.05, 714877], [1655961300, 325.0, 326.8, 324.95, 325.65, 604959], [1655962200, 325.75, 327.65, 325.4, 326.0, 567360], [1655963100, 326.0, 326.25, 325.0, 325.15, 428745], [1655964000, 325.15, 325.25, 321.75, 321.85, 835399], [1655964900, 321.85, 321.85, 318.8, 319.4, 1089012], [1655965800, 319.3, 320.75, 318.65, 319.9, 517331], [1655966700, 319.9, 320.3, 315.7, 316.35, 909848], [1655967600, 316.35, 317.35, 315.0, 315.05, 544277], [1655968500, 315.15, 315.45, 313.7, 314.15, 802595], [1655969400, 314.1, 314.5, 311.85, 312.6, 672544], [1655970300, 312.5, 313.2, 311.45, 311.5, 461158], [1655971200, 311.55, 317.2, 311.1, 316.75, 1139176], [1655972100, 316.85, 317.85, 316.2, 317.0, 586962], [1655973000, 317.05, 317.15, 313.6, 313.6, 809594], [1655973900, 313.7, 314.8, 312.2, 313.65, 566279], [1655974800, 313.65, 316.0, 313.3, 315.9, 599199], [1655975700, 316.0, 316.95, 315.1, 316.6, 646850], [1655976600, 316.6, 318.6, 316.2, 318.6, 960266], [1655977500, 318.6, 319.35, 316.8, 318.0, 902149]]}

1656253888473 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253888580 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253888893 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253889214 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253889526 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253889929 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

1656253890242 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-26', 'range_to': '2022-06-26', 'cont_flag': '1'} :: 1656253890651 :: {'s': 'no_data', 'candles': [], 'nextTime': 1656064500}

