,SYMBOL,21-MAR-2022,22-MAR-2022,23-MAR-2022,24-MAR-2022,25-MAR-2022,28-MAR-2022,29-MAR-2022,30-MAR-2022,31-MAR-2022,01-APR-2022,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,V AVERAGE
48,WIPRO,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3592,0.352
22,SHREECEM,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3687,0.348
30,POWERGRID,0.3477,0.3458,0.3439,0.3439,0.3439,0.3458,0.3439,0.3458,0.3439,0.3477,0.3439,0.3458,0.3458,0.3477,0.345
16,IOC,0.342,0.342,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.342,0.342,0.3401,0.3401,0.342,0.3515,0.342
38,SUNPHARMA,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.342,0.342,0.3343,0.342
47,DIVISLAB,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.3401,0.342,0.3401,0.3401,0.3515,0.341
50,HCLTECH,0.342,0.3401,0.3401,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.342,0.341
32,HDFCLIFE,0.3382,0.3362,0.3362,0.3362,0.3362,0.3362,0.3382,0.3401,0.3362,0.3382,0.3401,0.3362,0.3382,0.3706,0.34
25,SBILIFE,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.3401,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.342,0.339
34,CIPLA,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3267,0.336
5,HEROMOTOCO,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.342,0.3305,0.3286,0.3305,0.3305,0.3286,0.3286,0.3668,0.333
35,ASIANPAINT,0.3343,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3324,0.3305,0.3324,0.3305,0.3305,0.3305,0.3439,0.332
11,ULTRACEMCO,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3534,0.332
23,ITC,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3171,0.33
43,LT,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3324,0.329
9,HDFCBANK,0.3076,0.3076,0.3076,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3324,0.3095,0.3114,0.3477,0.313
7,BAJAJ-AUTO,0.3114,0.3133,0.3114,0.3114,0.3133,0.3114,0.3114,0.3114,0.3114,0.3133,0.3114,0.3114,0.3114,0.3152,0.312
21,DRREDDY,0.3114,0.3114,0.3114,0.3171,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.321,0.312
45,INFY,0.3076,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3095,0.3114,0.308
36,BRITANNIA,0.2885,0.2866,0.2866,0.2847,0.2847,0.2847,0.2847,0.2866,0.2866,0.2847,0.2866,0.2847,0.2847,0.2961,0.286
37,TCS,0.2789,0.2789,0.277,0.2789,0.2789,0.277,0.277,0.277,0.277,0.277,0.277,0.2789,0.2789,0.2808,0.278
40,HINDUNILVR,0.2713,0.2713,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2675,0.2675,0.2866,0.271
41,NESTLEIND,0.2694,0.2694,0.2675,0.2675,0.2675,0.2675,0.2675,0.2694,0.2675,0.2675,0.2675,0.2675,0.2675,0.2617,0.267
